,GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
5,1003744.0,521,Beecher Landfill,IL,1055 W. Goodenow Road,Beecher,Will,60401.0,41.3915,-87.6388,Private,WM,1972.0,1996.0,Closed,4613270.0,1996.0,Yes,0.641,,586-1,Shutdown,"Project #1, Expansion #1",2008-10-01 00:00:00,2014-01-01 00:00:00,Electricity,Reciprocating Engine,,0.77,1.06,0.36,0.0,0.0
6,1003744.0,521,Beecher Landfill,IL,1055 W. Goodenow Road,Beecher,Will,60401.0,41.3915,-87.6388,Private,WM,1972.0,1996.0,Closed,4613270.0,1996.0,Yes,0.641,,586-2,Operational,"Project #1, Re-Start",2015-10-05 00:00:00,,Electricity,Reciprocating Engine,,1.24,3.18,0.69,0.06275,0.00642
7,1004353.0,1856,Belleville Sanitary LF,IL,2381 Park Road,Belleville,St. Clair,62220.0,38.48359,-90.011824,Private,"Republic Services, Inc.",1974.0,1993.0,Closed,2343402.0,1993.0,Yes,0.121,0.121,166902-0,Low Potential,,,,Unknown,Unknown,,,,,,
8,,1861,Bloomington LF,IL,W. Oakland Avenue,Bloomington,McLean,61704.0,40.465,-89.036,Unknown,,1964.0,1990.0,Closed,1000000.0,,No,,,166907-0,Low Potential,,,,Unknown,Unknown,,,,,,
9,,526,Blue Island LF,IL,,Blue Island,Cook,,,,Unknown,,,,Closed,,,Yes,2.0,,593-0,Shutdown,Project #1,1983-01-01 00:00:00,1991-01-01 00:00:00,Direct,Direct Thermal,,,,2.0,,
10,1004601.0,470,Bond County LF,IL,825 Willard Street,Greenville,Bond,62246.0,38.88497,-89.42086,Private,"Republic Services, Inc.",1997.0,2010.0,Closed,1581904.0,,Yes,0.353,0.353,535-0,Low Potential,,,,Unknown,Unknown,,,,,,
11,1004026.0,1864,Brickyard Disposal & Recycling Inc.,IL,601 East Brickyard Road,Danville,Vermilion,61832.0,40.09966,-87.6163,Private,"Republic Services, Inc.",1972.0,2043.0,Open,11499994.0,2021.0,Yes,1.841,1.841,166910-0,Shutdown,Project #1,1999-09-01 00:00:00,2015-12-31 00:00:00,Electricity,Reciprocating Engine,,2.961,2.961,,,
12,1004026.0,1864,Brickyard Disposal & Recycling Inc.,IL,601 East Brickyard Road,Danville,Vermilion,61832.0,40.09966,-87.6163,Private,"Republic Services, Inc.",1972.0,2043.0,Open,11499994.0,2021.0,Yes,1.841,1.841,166910-1,Shutdown,"Project #1, Expansion #1",2004-02-01 00:00:00,2006-01-01 00:00:00,Electricity,Organic Rankine Cycle,,0.2,,,,
13,1004026.0,1864,Brickyard Disposal & Recycling Inc.,IL,601 East Brickyard Road,Danville,Vermilion,61832.0,40.09966,-87.6163,Private,"Republic Services, Inc.",1972.0,2043.0,Open,11499994.0,2021.0,Yes,1.841,1.841,166910-2,Shutdown,"Project #1, Expansion #2",2014-10-01 00:00:00,2015-12-31 00:00:00,Electricity,Reciprocating Engine,,1.0,,,,
14,1004026.0,1864,Brickyard Disposal & Recycling Inc.,IL,601 East Brickyard Road,Danville,Vermilion,61832.0,40.09966,-87.6163,Private,"Republic Services, Inc.",1972.0,2043.0,Open,11499994.0,2021.0,Yes,1.841,1.841,201466-0,Candidate,,,,Unknown,Unknown,,,,,,
